dealer_no,display_name,drive_folder_name,match_status
106991,247 Heating and Air,247 Heating and Air,EXACT
10020099,"2B COOL Services, LLC",(MISSING),MISSING
101332,A and Z Mechanical,A and Z Mechanical,EXACT
108224,AccuMax Heating and Cooling,AccuMax Heating and Cooling,EXACT
10019203,Advanced Air Solutions Systems,Advanced Air Solutions Systems,EXACT
10127005,Advanced Solutions LLC,Advanced Solutions LLC,EXACT
10043082,Advantage Heating and Cooling,Advantage Heating and Cooling,EXACT
10405016,Air 911 Heating and Cooling LLC,Air 911 Heating and Cooling LLC,EXACT
10139017,Air Repair Heating and AC,(MISSING),MISSING
10126018,Air System Experts Air Conditioning and Heating Service,(MISSING),MISSING
107949,Air Technicians Inc.,Air Technicians Inc.,EXACT
10019057,"Airtech Mechanical Services, Inc.",(MISSING),MISSING
8816,All Temp Heating and Cooling,All Temp Heating and Cooling,EXACT
10238010,"Angleton Sheetmetal Services, Inc.",(MISSING),MISSING
10038163,Aquilla Air,(MISSING),MISSING
10214007,Arctic Air Conditioning and Heating,(MISSING),MISSING
10217022,Arctic Air Works LLC,(MISSING),MISSING
10035003,Arctic Fire Heating and Cooling,Arctic Fire Heating and Cooling,EXACT
10169032,Art Smith and Son,Art Smith and Son,EXACT
10241003,Astro Tex Air Conditioning and Heating,(MISSING),MISSING
106974,At Temp Mechanical,At Temp Mechanical,EXACT
10425015,Atlantic Comfort Systems,Atlantic Comfort Systems,EXACT
10148007,Aviation Mechanical LTD,(MISSING),MISSING
107895,B and C Plumbing and Heating,B and C Plumbing and Heating,EXACT
10216002,B and G Mechanical LLC,B and G Mechanical LLC,EXACT
10136007,Bilco Air Conditioning and Heating,(MISSING),MISSING
10019027,Bill Mohn Heating and Cooling,Bill Mohn Heating and Cooling,EXACT
10206000,Bird Ventilation and Gasfitting LTD.,(MISSING),MISSING
10232027,Blue Valley Heating and Cooling,Blue Valley Heating and Cooling,EXACT
103333,Brian's Heating and Air Conditioning,Brian_s Heating and Air Conditioning,FUZZY
10325016,Brothertons Heating & Air,(MISSING),MISSING
10177001,C and G Mechanical LLC,(MISSING),MISSING
103495,Campbells Heating and Cooling,Campbells Heating and Cooling,EXACT
106944,Carstens Plumbing and Heating,Carstens Plumbing and Heating,EXACT
10454142,Carter Air,Carter Air,EXACT
10057005,Centroplex Service Company,(MISSING),MISSING
104098,Chase Heating and Cooling,Chase Heating and Cooling,EXACT
10159012,Chipps Residential Services LLC,Chipps Residential Services LLC,EXACT
105288,Clear Sky Heating and Air,Clear Sky Heating and Air,EXACT
108312,Colorado Air Solutions,Colorado Air Solutions,EXACT
10129025,Comfort Connect Air Conditioning and Heating,(MISSING),MISSING
10020233,ComfortPro Solutions,(MISSING),MISSING
10406011,Cool Experts AC,Cool Experts AC,EXACT
10042030,Cortina Heating and Cooling,Cortina Heating and Cooling,EXACT
10229006,Dave Lane's Hi-Tech Mechanical,(MISSING),MISSING
10177000,DeLong and Sons HVAC,DeLong and Sons HVAC,EXACT
10076000,Delta Heating and Air,Delta Heating and Air,EXACT
106883,Derek Pike HVACR,Derek Pike HVACR,EXACT
1402,"Dunwiddie Heating, Air Conditioning and Plumbing",(MISSING),MISSING
100163,Dye Plumbing and Heating Service Co.,Dye Plumbing and Heating Service Co.,EXACT
10167029,East Coast Mechanical Contractors,East Coast Mechanical Contractors,EXACT
99999002,Eco Systems Heating and Air,Eco Systems Heating and Air ,FUZZY
10454016,Elite AC Solutions,Elite AC Solutions,EXACT
10371040,Everest Air Heating and Cooling,Everest Air Heating and Cooling,EXACT
10127012,Fondas Plumbing and Heating,(MISSING),MISSING
10503011,Frank DeVos National Heating & Cooling,(MISSING),MISSING
107917,Frankum AC and Heating,(MISSING),MISSING
10330040,G and L Services,G and L Services,EXACT
107678,GB Comfort Services,GB Comfort Services,EXACT
109053,Gering Valley Plumbing and Heating,Gering Valley Plumbing and Heating,EXACT
108118,Ginsel Heating and Air,(MISSING),MISSING
975,"H and H Plumbing, Heating and Cooling",(MISSING),MISSING
1734,H.E.R.O. Heating and Air Conditioning,H.E.R.O. Heating and Air Conditioning,EXACT
105289,"Hansen Heating, Plumbing, and Air Conditioning",(MISSING),MISSING
10457038,Hensley Heating and Cooling LLC,(MISSING),MISSING
10330023,High Performance Home Systems,(MISSING),MISSING
10216023,Icon Heating and Cooling,Icon Heating and Cooling,EXACT
10330030,Integrity AC LLC,(MISSING),MISSING
